,,Comida,Precio,pescado,molusco,marisco,cacahuete,apio,altramuces,mostaza,frutos secos,huevos,lacteos,sesamo,sulfitos,trigo,soja
ENTRANTES,,ENTRANTES,,,,,,,,,,,,,,,
ENTRANTES,1,Milhoja de berenjena ,"5,90 €",1,,,,,,,,,,1,,,
ENTRANTES,2,Rollitos vegetales (4U),5.50 €,,,,,,,,,,,,,1,
ENTRANTES,3,Rollitos de langostinos (4U),6.80 €,,,1,,,,,,,,,,1,
ENTRANTES,4,Crépes de pato asado (3U),7.90 €,,,1,,,,,,,,,,1,1
ENTRANTES,5,Huevos rotos trufados,7.90 €,1,,,,,,,,1,,1,,,
ENTRANTES,6,Croquetas caseras (4U),"5,90 €",1,,1,,,,,,1,,,,1,
ENTRANTES,7,Tacos de cerdo desmenuzado (2U),"6,90 €",,,,,,,,,,,,,1,1
ENTRANTES,8,Tostas mexicanas (4U),8.90 €,1,,,,,,,1,,,,,1,1
,,,,,,,,,,,,,,,,,
,B,DEL HUERTO,,,,,,,,,,,,,,,
DEL HUERTO,9,Verdura variada salteada,7.50 €,,,,,,,,,,,,,,
DEL HUERTO,10,Setas y espárragos ,7.50 €,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,
,C,DEL MAR,,,,,,,,,,,,,,,
DEL MAR,11,Tartar de salmón,8.90 €,1,,,,,,,1,,,1,,1,1
DEL MAR,12,Salmón a la plancha,6.90 €,1,,,,,,,,1,,,,1,1
DEL MAR,13,Salmon ahumado con mango ,8.90 €,1,,1,,,,1,,,,,,,
DEL MAR,14,Tartar de atún ,9.90 €,1,,,,,,,,1,,1,,1,1
DEL MAR,15,Tataki de atún,9.90 €,1,,,,,,,,,,1,,1,1
DEL MAR,16,Tempura de langostino,6.90 €,,,1,,,,,,1,,,,1,1
DEL MAR,17,Langostinos tigre,6.90 €,,,1,,,,,,1,,,,1,
DEL MAR,18,Gambas al Kung-Pao,"9,50 €",,,1,1,,,,,,,,,1,1
DEL MAR,19,Gambas con salsa XO,"9,50 €",,1,1,1,,,,,,,1,,1,1
,,,,,,,,,,,,,,,,,
,D,DE LA TIERRA,,,,,,,,,,,,,,,
DE LA TIERRA,20,Rabo de toro,7.90 €,,,,,,,,,,,,1,1,1
DE LA TIERRA,21,Costillar con puré de patatas,"6,90 €",,,,,,,,,,1,,,,
DE LA TIERRA,22,Tuétano con miso rojo,7.90 €,,,,1,,,,,,,,1,1,1
DE LA TIERRA,23,Burger de Wagyu,"7,50 €",,,,,,,,,1,1,,,,
DE LA TIERRA,24,Ternera crujiente agridulce,"7,50 €",,,,,,,,,1,,1,,1,1
DE LA TIERRA,25,Ternera al curry con arroz blanco,8.50 €,,,,,,,,,,1,,,,
DE LA TIERRA,26,Ternera con salsa de ostras,"7,50 €",,,1,,,,,,,,,,1,1
DE LA TIERRA,27,Pollo caramelizado crujiente,6.90 €,,,,,,,,,,,1,,1,1
DE LA TIERRA,28,Pollo con limón,"6,50 €",,,,,,,,,1,,1,,1,
DE LA TIERRA,29,Pollo Kung-Pao,"6,90 €",,,,1,,,,,,,,,1,1
DE LA TIERRA,30,Pollo al curry con arroz,7.90 €,,,,,,,,,,1,,,,
DE LA TIERRA,31,Cerdo agridulce,"6,50 €",,,,,,,,,1,,,,1,
DE LA TIERRA,32,Pato frito con salsa de soja,"9,50 €",,,,,,,,1,,,,,1,1
,,,,,,,,,,,,,,,,,
,E,UN TOQUE ORIENTAL,,,,,,,,,,,,,,,
UN TOQUE ORIENTAL,33,Gyoza a la plancha de pollo y verdura (4U),"6,50 €",,,,,,,,,,,,,1,1
UN TOQUE ORIENTAL,34,Dumplings al vapor (4U),6.50 €,,,,,,,,,,,,,1,1
