TIPO,Subcategoria,Numero,Comida,Precio,sin foto,pescado,molusco,marisco,cacahuete,apio,altramuces,mostaza,frutos secos,huevos,lacteos,sesamo,sulfitos,trigo,soja
,,,ENTRANTES,,,,,,,,,,,,,,,,
ENTRANTES,ENTRANTES,1,Rodajas de berenjena con bacalao,6.95,,1,,,,,,,,,,1,,,
ENTRANTES,ENTRANTES,2,Rollitos vegetales (4U),4.95,,,,,,,,,,,,,,1,
ENTRANTES,ENTRANTES,2A,Rollitos de primavera de verduras,5.20,,,,,,,,,,,,,,1,
ENTRANTES,ENTRANTES,3,Rollitos de langostinos (4U),7.95,,,,1,,,,,,,,,,1,
ENTRANTES,ENTRANTES,4,Crépes de pato asado (3U),10.50,,,,1,,,,,,,,,,1,1
ENTRANTES,ENTRANTES,5,Huevos rotos trufados,9.95,,1,,,,,,,,1,,1,,,
ENTRANTES,ENTRANTES,6,Croquetas caseras (4U),6.50,,1,,1,,,,,,1,,,,1,
ENTRANTES,ENTRANTES,7,Tacos de cerdo desmenuzado (2U),8.95,,,,,,,,,,,,,,1,1
ENTRANTES,ENTRANTES,8,Tostas mexicanas (4U),10.50,,1,,,,,,,1,,,,,1,1
ENTRANTES,ENTRANTES,192,Goma wakame,6.50,,,,1,,,,,,,,1,,,
ENTRANTES,ENTRANTES,194,Sopa agri tradicional,7.95,,,,1,,,,,,,,,,,
ENTRANTES,ENTRANTES,195,Berenjena crujiente con salsa especial,6.95,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,
,,,DEL HUERTO,,,,,,,,,,,,,,,,
PRINCIPALES,DEL HUERTO,9,Verdura variada salteada,8.95,,,,,,,,,,,,,,,
PRINCIPALES,DEL HUERTO,10,Setas y espárragos,9.95,,,,,,,,,,,,,,1,1
PRINCIPALES,,,DEL MAR,,,,,,,,,,,,,,,,
PRINCIPALES,DEL MAR,11,Tartar de salmón,10.50,,1,,,,,,,1,,,1,,1,1
PRINCIPALES,DEL MAR,12,Salmón a la plancha,9.95,,1,,,,,,,,1,,,,1,1
PRINCIPALES,DEL MAR,13,Salmon ahumado con mango,10.50,,1,,1,,,,1,,,,,,,
PRINCIPALES,DEL MAR,14,Tartar de atún,10.95,,1,,,,,,,,1,,1,,1,1
PRINCIPALES,DEL MAR,15,Tataki de atún,10.95,,1,,,,,,,,,,1,,1,1
PRINCIPALES,DEL MAR,16,Tempura de langostino,8.50,,,,1,,,,,,1,,,,1,1
PRINCIPALES,DEL MAR,17,Langostinos tigre,9.50,,,,1,,,,,,1,,,,1,
PRINCIPALES,DEL MAR,18,Langostinos al Kung-Pao,11.50,,,,1,1,,,,,,,,,1,1
PRINCIPALES,DEL MAR,19,Langostinos con salsa XO,11.50,,,1,1,1,,,,,,,1,,1,1
PRINCIPALES,DEL MAR,191,Langostinos al curry,11.50,,,,1,,,,,,,,,,1,1
PRINCIPALES,,,DE LA TIERRA,,,,,,,,,,,,,,,,
PRINCIPALES,DE LA TIERRA,20,Rabo de toro,11.50,,,,,,,,,,,,,1,1,1
PRINCIPALES,DE LA TIERRA,21,Costillar con puré de patatas,9.95,,,,,,,,,,,1,,,,
PRINCIPALES,DE LA TIERRA,22,Tuétano con miso rojo,13.99,,,,,1,,,,,,,,1,1,1
PRINCIPALES,DE LA TIERRA,23,Burger de Wagyu,8.50,,,,,,,,,,1,1,,,,
PRINCIPALES,DE LA TIERRA,24,Ternera crujiente agridulce,9.50,,,,,,,,,,1,,1,,1,1
PRINCIPALES,DE LA TIERRA,25,Ternera al curry ,9.50,,,,,,,,,,,1,,,,
PRINCIPALES,DE LA TIERRA,26,Ternera con salsa de ostras,9.50,,,,1,,,,,,,,,,1,1
PRINCIPALES,DE LA TIERRA,27,Pollo caramelizado crujiente,8.50,,,,,,,,,,,,1,,1,1
PRINCIPALES,DE LA TIERRA,28,Pollo con limón,8.50,,,,,,,,,,1,,1,,1,
PRINCIPALES,DE LA TIERRA,29,Pollo Kung-Pao,8.95,,,,,1,,,,,,,,,1,1
PRINCIPALES,DE LA TIERRA,30,Pollo al curry ,8.95,,,,,,,,,,,1,,,,
PRINCIPALES,DE LA TIERRA,31,Cerdo agridulce,7.95,,,,,,,,,,1,,,,1,
PRINCIPALES,DE LA TIERRA,32,Pato crujiente almendrado,10.50,,,,,,,,,1,,,,,1,1
PRINCIPALES,,,UN TOQUE ORIENTAL,,,,,,,,,,,,,,,,
PRINCIPALES,UN TOQUE ORIENTAL,33,Gyoza a la plancha de pollo y verdura (4U),7.50,,,,,,,,,,,,,,1,1
PRINCIPALES,UN TOQUE ORIENTAL,34,Dumplings al vapor (4U),7.50,,,,,,,,,,,,,,1,1
PRINCIPALES,UN TOQUE ORIENTAL,35,Xiao Long Bao (4U),7.50,,,,,,,,,,,,,,1,1
PRINCIPALES,UN TOQUE ORIENTAL,36,ShaoMai (4U),7.50,,,,1,,,,,,,,,,1,1
PRINCIPALES,UN TOQUE ORIENTAL,37,Hakao (4U),7.50,,,,1,,,,,,1,,,,,
PRINCIPALES,UN TOQUE ORIENTAL,58,Pan chino,2.00,,,,,,,,,,,,,,1,
PRINCIPALES,UN TOQUE ORIENTAL,59,Wantún al estilo sichuan,8.50,,,,,,,,,,,,,,1,
PRINCIPALES,UN TOQUE ORIENTAL,38,Gran Bao de cangrejo,10.50,,,,1,,,,,,1,,,,1,
PRINCIPALES,UN TOQUE ORIENTAL,39,Bao de tempura de langostino,8.50,,,,1,,,,,,1,,,,1,
PRINCIPALES,UN TOQUE ORIENTAL,40,Bao de pato asado,8.50,,,,1,,,,,,,,,,1,1
PRINCIPALES,UN TOQUE ORIENTAL,41,Arroz frito con solomillo y langostinos teppanyaki,11.95,,,,1,,,,,,1,,,,1,1
